kernel,in_ch,out_ch,stride,pad,height,width,tc1,tc2,time_ms
3,8,24,2,1,240,320,16,4,0.0337715
3,8,24,2,1,240,320,16,8,0.0279978
3,8,24,2,1,240,320,16,16,0.0222618
3,8,24,2,1,240,320,16,32,0.0208426
3,8,24,2,1,240,320,16,64,0.0312218
3,8,24,2,1,240,320,32,1,0.0723136
3,8,24,2,1,240,320,32,2,0.0720576
3,8,24,2,1,240,320,32,4,0.072137
3,8,24,2,1,240,320,32,8,0.072919
3,8,24,2,1,240,320,32,16,0.0730112
3,8,24,2,1,240,320,32,32,0.0742195
3,8,24,2,1,240,320,64,1,0.0723558
3,8,24,2,1,240,320,64,2,0.0720589
3,8,24,2,1,240,320,64,4,0.0719872
3,8,24,2,1,240,320,64,8,0.072704
3,8,24,2,1,240,320,64,16,0.0734925
3,8,24,2,1,240,320,128,1,0.0723354
3,8,24,2,1,240,320,128,2,0.071896
3,8,24,2,1,240,320,128,4,0.0720384
3,8,24,2,1,240,320,128,8,0.0734515
1,1,24,1,0,120,160,1,1,0.0142992
1,1,24,1,0,120,160,1,2,0.014377
1,1,24,1,0,120,160,1,4,0.014377
1,1,24,1,0,120,160,1,8,0.0143667
1,1,24,1,0,120,160,1,16,0.014383
1,1,24,1,0,120,160,1,32,0.0143872
1,1,24,1,0,120,160,1,64,0.0131482
1,1,24,1,0,120,160,1,128,0.018135
1,1,24,1,0,120,160,2,1,0.00785408
1,1,24,1,0,120,160,2,2,0.00786432
1,1,24,1,0,120,160,2,4,0.00786432
1,1,24,1,0,120,160,2,8,0.00787456
1,1,24,1,0,120,160,2,16,0.007864
1,1,24,1,0,120,160,2,32,0.00730112
1,1,24,1,0,120,160,2,64,0.00980992
1,1,24,1,0,120,160,2,128,0.00999424
1,1,24,1,0,120,160,4,1,0.0046592
1,1,24,1,0,120,160,4,2,0.00466944
1,1,24,1,0,120,160,4,4,0.00466848
1,1,24,1,0,120,160,4,8,0.0046592
1,1,24,1,0,120,160,4,16,0.00434176
1,1,24,1,0,120,160,4,32,0.0055296
1,1,24,1,0,120,160,4,64,0.00602112
1,1,24,1,0,120,160,4,128,0.0127939
1,1,24,1,0,120,160,8,1,0.0030208
1,1,24,1,0,120,160,8,2,0.00304128
1,1,24,1,0,120,160,8,4,0.00304576
1,1,24,1,0,120,160,8,8,0.00289792
1,1,24,1,0,120,160,8,16,0.0036864
1,1,24,1,0,120,160,8,32,0.0039424
1,1,24,1,0,120,160,8,64,0.00723936
1,1,24,1,0,120,160,8,128,0.0197414
1,1,24,1,0,120,160,16,1,0.00226304
1,1,24,1,0,120,160,16,2,0.00227328
1,1,24,1,0,120,160,16,4,0.0021504
1,1,24,1,0,120,160,16,8,0.00247392
1,1,24,1,0,120,160,16,16,0.0027648
1,1,24,1,0,120,160,16,32,0.00431232
1,1,24,1,0,120,160,16,64,0.0105885
1,1,24,1,0,120,160,32,1,0.001792
1,1,24,1,0,120,160,32,2,0.00181248
1,1,24,1,0,120,160,32,4,0.00191488
1,1,24,1,0,120,160,32,8,0.00214016
1,1,24,1,0,120,160,32,16,0.002816
1,1,24,1,0,120,160,32,32,0.00588864
1,1,24,1,0,120,160,64,1,0.00160768
1,1,24,1,0,120,160,64,2,0.00162816
1,1,24,1,0,120,160,64,4,0.0018944
1,1,24,1,0,120,160,64,8,0.00214016
1,1,24,1,0,120,160,64,16,0.00356352
1,1,24,1,0,120,160,128,1,0.00156672
1,1,24,1,0,120,160,128,2,0.00191488
1,1,24,1,0,120,160,128,4,0.00178176
1,1,24,1,0,120,160,128,8,0.00243936
3,24,24,1,1,120,160,1,1,2.75836
3,24,24,1,1,120,160,1,2,1.37868
3,24,24,1,1,120,160,1,4,0.702044
3,24,24,1,1,120,160,1,8,0.351245
3,24,24,1,1,120,160,1,16,0.183562
3,24,24,1,1,120,160,1,32,0.0926413
3,24,24,1,1,120,160,1,64,0.0495923
3,24,24,1,1,120,160,1,128,0.048672
3,24,24,1,1,120,160,2,1,1.3796
3,24,24,1,1,120,160,2,2,0.706243
3,24,24,1,1,120,160,2,4,0.350771
3,24,24,1,1,120,160,2,8,0.176691
3,24,24,1,1,120,160,2,16,0.092631
3,24,24,1,1,120,160,2,32,0.0425574
3,24,24,1,1,120,160,2,64,0.0430752
3,24,24,1,1,120,160,2,128,0.0441139
3,24,24,1,1,120,160,4,1,0.692378
3,24,24,1,1,120,160,4,2,0.34942
3,24,24,1,1,120,160,4,4,0.181741
3,24,24,1,1,120,160,4,8,0.0892928
3,24,24,1,1,120,160,4,16,0.0426144
3,24,24,1,1,120,160,4,32,0.0406016
3,24,24,1,1,120,160,4,64,0.041769
3,24,24,1,1,120,160,4,128,0.0466125
3,24,24,1,1,120,160,8,1,0.339732
3,24,24,1,1,120,160,8,2,0.170485
3,24,24,1,1,120,160,8,4,0.0856371
3,24,24,1,1,120,160,8,8,0.0475347
3,24,24,1,1,120,160,8,16,0.0465306
3,24,24,1,1,120,160,8,32,0.0476262
3,24,24,1,1,120,160,8,64,0.0509542
3,24,24,1,1,120,160,8,128,0.0760422
3,24,24,1,1,120,160,16,1,0.216717
3,24,24,1,1,120,160,16,2,0.116142
3,24,24,1,1,120,160,16,4,0.110797
3,24,24,1,1,120,160,16,8,0.0911667
3,24,24,1,1,120,160,16,16,0.0727859
3,24,24,1,1,120,160,16,32,0.0688026
3,24,24,1,1,120,160,16,64,0.0870502
3,24,24,1,1,120,160,32,1,0.22271
3,24,24,1,1,120,160,32,2,0.235141
3,24,24,1,1,120,160,32,4,0.230984
3,24,24,1,1,120,160,32,8,0.230472
3,24,24,1,1,120,160,32,16,0.230124
3,24,24,1,1,120,160,32,32,0.237609
3,24,24,1,1,120,160,64,1,0.23168
3,24,24,1,1,120,160,64,2,0.226499
3,24,24,1,1,120,160,64,4,0.232438
3,24,24,1,1,120,160,64,8,0.226509
3,24,24,1,1,120,160,64,16,0.237343
3,24,24,1,1,120,160,128,1,0.228403
3,24,24,1,1,120,160,128,2,0.236759
3,24,24,1,1,120,160,128,4,0.228035
3,24,24,1,1,120,160,128,8,0.235958
3,24,64,2,1,120,160,1,1,0.739368
3,24,64,2,1,120,160,1,2,0.37876
